o,d,f
109S,106S,306
124V,106V,684
148V,106V,116
154V,106V,253
032A,107A,157
060A,107A,247
104A,107A,335
105A,107A,286
106A,107A,149
108A,107A,676
117B,107B,144
091M,107M,298
104M,107M,532
105M,107M,163
106M,107M,160
108M,107M,1162
109M,107M,175
110M,107M,322
115M,107M,365
126M,107M,107
100S,107S,137
101S,107S,119
102S,107S,143
106S,107S,357
108S,107S,249
109S,107S,251
007V,107V,226
032A,108A,174
060A,108A,162
107A,108A,363
156B,108B,845
215B,108B,120
227B,108B,137
229B,108B,150
230B,108B,1016
049M,108M,109
107M,108M,373
109M,108M,552
110M,108M,181
105S,108S,142
107S,108S,163
109S,108S,424
124V,108V,168
131V,108V,491
148V,108V,182
106A,109A,361
111A,109A,137
112A,109A,432
062B,109B,321
081B,109B,102
049M,109M,474
105M,109M,369
108M,109M,1343
105S,109S,558
106S,109S,611
107S,109S,195
108S,109S,650
122V,109V,163
138V,109V,490
152V,109V,313
156V,109V,226
163V,109V,159
09AL,10AL,106
28AL,10AL,240
30BU,10BU,177
35CA,10CA,297
20CS,10CS,148
11CZ,10CZ,154
12CZ,10CZ,108
14CZ,10CZ,180
15CZ,10CZ,396
05GC,10GC,442
39GC,10GC,165
52GI,10GI,204
11HU,10HU,116
14JA,10JA,148
25LU,10LU,101
09MA,10MA,141
02MU,10MU,182
17MU,10MU,201
09PO,10PO,111
11SA,10SA,139
19SG,10SG,133
22SG,10SG,100
23SG,10SG,106
02SO,10SO,300
08SO,10SO,131
11TF,10TF,122
08TO,10TO,159
09TO,10TO,142
70TO,10TO,221
103A,110A,242
105A,110A,113
017B,110B,138
107M,110M,307
108M,110M,292
109M,110M,117
126M,110M,126
127M,110M,109
295M,110M,256
093S,110S,127
111S,110S,133
112V,110V,212
144V,110V,114
145V,110V,120
101A,111A,148
103A,111A,169
109A,111A,188
112A,111A,604
113A,111A,115
061B,111B,138
076B,111B,132
112M,111M,202
113M,111M,812
114M,111M,228
048S,111S,206
110S,111S,164
016V,111V,309
070V,111V,255
135V,111V,392
109A,112A,758
111A,112A,637
113A,112A,187
114A,112A,104
111M,112M,232
113M,112M,607
114M,112M,1078
261M,112M,153
052S,112S,117
072S,112S,221
093S,112S,154
095S,112S,122
096S,112S,196
110S,112S,112
081V,112V,250
110V,112V,175
143V,112V,321
145V,112V,184
111A,113A,170
112A,113A,198
114A,113A,187
115A,113A,179
116A,113A,113
111M,113M,744
112M,113M,480
114M,113M,225
118M,113M,154
119M,113M,295
079V,113V,291
125V,113V,186
112A,114A,126
113A,114A,176
264B,114B,112
111M,114M,200
112M,114M,937
113M,114M,210
261M,114M,282
264M,114M,157
032S,114S,188
036S,114S,225
041S,114S,195
059S,114S,239
072S,114S,313
153V,114V,185
162V,114V,194
100A,115A,144
113A,115A,115
116A,115A,117
102M,115M,843
103M,115M,137
104M,115M,153
105M,115M,150
107M,115M,453
116M,115M,379
117M,115M,493
118M,115M,115
121M,115M,584
132V,115V,239
154V,115V,389
083A,116A,277
100A,116A,190
103A,116A,100
111A,116A,170
112A,116A,180
113A,116A,171
114A,116A,125
115A,116A,237
085B,116B,106
119B,116B,480
121B,116B,326
127B,116B,253
134B,116B,434
115M,116M,297
117M,116M,214
118M,116M,837
119M,116M,236
015S,116S,440
016S,116S,463
117S,116S,276
118V,116V,106
132V,116V,107
141V,116V,130
107B,117B,142
089M,117M,362
090M,117M,201
115M,117M,527
116M,117M,302
118M,117M,261
119M,117M,143
120M,117M,289
217M,117M,149
116S,117S,160
069V,117V,155
056B,118B,136
116M,118M,431
117M,118M,137
119M,118M,674
050S,118S,231
116V,118V,102
128V,118V,332
132V,118V,114
069B,119B,247
116B,119B,388
121B,119B,279
238B,119B,253
241B,119B,214
284B,119B,163
285B,119B,208
112M,119M,149
113M,119M,570
115M,119M,129
116M,119M,407
117M,119M,329
118M,119M,1983
217M,119M,451
262M,119M,111
091V,119V,198
121V,119V,210
128V,119V,281
158V,119V,631
34BI,11BI,179
65CO,11CO,143
28CS,11CS,169
12CZ,11CZ,436
13CZ,11CZ,111
14CZ,11CZ,183
15CZ,11CZ,132
52CZ,11CZ,101
55CÑ,11CÑ,105
32GC,11GC,258
10MA,11MA,100
54MA,11MA,146
55MA,11MA,213
092A,11MU,123
10NA,11NA,141
10SA,11SA,106
12SA,11SA,120
17TE,11TE,200
20ZM,11ZM,340
055B,120B,104
056B,120B,141
101B,120B,141
122B,120B,129
117M,120M,275
217M,120M,183
038S,120S,121
086V,120V,182
069B,121B,291
116B,121B,408
119B,121B,400
127B,121B,110
115M,121M,432
039S,121S,324
046V,121V,279
080V,121V,238
090V,121V,110
119V,121V,261
128V,121V,152
147V,121V,107
148V,121V,165
101B,122B,864
118B,122B,119
120B,122B,171
123M,122M,566
134M,122M,196
091V,122V,222
152V,122V,141
014B,123B,128
136B,123B,192
310B,123B,225
097M,123M,250
122M,123M,1044
131M,123M,216
134M,123M,410
057S,123S,142
164V,123V,263
058B,124B,100
030M,124M,128
059M,124M,159
125M,124M,1173
127M,124M,291
294M,124M,490
106V,124V,314
139V,124V,158
148V,124V,140
276B,125B,224
280B,125B,282
281B,125B,360
081M,125M,109
088M,125M,400
091M,125M,141
124M,125M,919
126M,125M,740
127M,125M,693
294M,125M,304
079V,125V,599
113V,125V,144
012B,126B,145
023B,126B,101
088M,126M,130
091M,126M,473
110M,126M,124
125M,126M,579
127M,126M,340
295M,126M,563
017V,126V,151
059V,126V,131
116B,127B,256
121B,127B,100
124M,127M,132
125M,127M,333
126M,127M,231
294M,127M,395
295M,127M,705
147V,127V,194
048B,128B,141
077B,128B,257
284M,128M,1081
285M,128M,568
118V,128V,689
119V,128V,226
132V,128V,178
158V,128V,266
074B,129B,579
145B,129B,102
130M,129M,596
134V,129V,303
143V,129V,549
160V,129V,125
05CO,12CO,198
11CZ,12CZ,254
35GI,12GI,165
39GP,12GP,314
49GR,12GR,219
44LL,12LL,201
30LU,12LU,148
09MA,12MA,170
19PO,12PO,249
28PO,12PO,379
11SA,12SA,117
17TE,12TE,163
21TF,12TF,232
40TF,12TF,168
23TO,12TO,113
13VI,12VI,661
14VI,12VI,691
15VI,12VI,565
16VI,12VI,240
20ZM,12ZM,149
146B,130B,150
114M,130M,100
129M,130M,1163
084V,130V,184
100V,130V,190
132V,130V,110
138V,130V,315
144V,130V,104
156V,130V,117
158V,130V,191
102B,131B,112
147B,131B,258
276B,131B,283
281B,131B,1016
301B,131B,284
097M,131M,130
123M,131M,168
132M,131M,553
198M,131M,105
206M,131M,327
060V,131V,212
108V,131V,431
019B,132B,120
131M,132M,574
198M,132M,583
115V,132V,236
116V,132V,215
118V,132V,214
128V,132V,218
158V,132V,110
075B,133B,301
086B,133B,207
100B,133B,109
065M,133M,166
286M,133M,680
070V,133V,100
126V,133V,120
085B,134B,420
095B,134B,207
116B,134B,375
122M,134M,281
123M,134M,282
289M,134M,539
129V,134V,222
161V,134V,263
057B,135B,101
094B,135B,198
277B,135B,106
028M,135M,263
291M,135M,118
292M,135M,431
293M,135M,444
016V,135V,110
047V,135V,199
083V,135V,200
111V,135V,191
123B,136B,262
234B,136B,159
137M,136M,920
138M,136M,130
139M,136M,674
064V,136V,118
092V,136V,100
145V,136V,179
150V,136V,505
065M,137M,223
136M,137M,971
138M,137M,281
139M,137M,118
152V,137V,169
155V,137V,307
157V,137V,223
163V,137V,144
165V,137V,295
047B,138B,101
082B,138B,238
065M,138M,304
137M,138M,292
139M,138M,297
091V,138V,113
109V,138V,375
122V,138V,109
130V,138V,189
156V,138V,117
158V,138V,235
087B,139B,296
061M,139M,109
136M,139M,644
138M,139M,272
090V,139V,161
099V,139V,325
102V,139V,372
124V,139V,105
141V,139V,190
25AL,13AL,101
25AS,13AS,130
57AS,13AS,143
09BA,13BA,209
09BI,13BI,121
50BI,13BI,238
14CA,13CA,133
09CO,13CO,149
19CS,13CS,160
11CZ,13CZ,134
15GC,13GC,116
59GR,13GR,100
34LL,13HS,136
44JA,13JA,120
12OU,13OU,115
39PO,13PO,146
62TA,13TA,111
64TA,13TA,126
65TA,13TA,108
66TA,13TA,119
67TA,13TA,103
02TF,13TF,380
18TF,13TF,204
29TF,13TF,144
04VI,13VI,131
12VI,13VI,842
14VI,13VI,237
15VI,13VI,353
16VI,13VI,937
17VI,13VI,151
037B,140B,316
036M,140M,202
141M,140M,1013
046V,140V,182
077V,140V,258
085V,140V,300
098V,140V,305
149V,140V,174
152V,140V,127
134B,141B,127
140M,141M,669
090V,141V,203
099V,141V,330
116V,141V,169
139V,141V,217
154V,141V,211
007B,142B,156
144M,142M,149
149M,142M,202
200M,142M,185
003V,142V,190
089V,142V,213
093V,142V,176
013B,143B,111
144M,143M,352
112V,143V,398
129V,143V,448
145V,143V,520
033B,144B,203
034B,144B,165
038B,144B,262
142M,144M,121
143M,144M,287
150M,144M,172
084V,144V,251
110V,144V,228
130V,144V,153
154V,144V,132
074B,145B,417
144M,145M,155
073V,145V,162
110V,145V,126
112V,145V,287
136V,145V,196
143V,145V,649
150V,145V,500
020B,146B,143
021B,146B,194
024B,146B,162
130B,146B,173
147M,146M,220
131B,147B,118
301B,147B,127
142M,147M,108
146M,147M,159
181M,147M,118
013V,147V,172
019V,147V,190
121V,147V,123
127V,147V,168
149B,148B,373
150B,148B,250
152B,148B,104
154B,148B,360
142M,148M,128
092V,148V,150
102V,148V,126
108V,148V,182
121V,148V,220
124V,148V,190
139V,148V,109
148B,149B,227
150B,149B,289
151B,149B,923
152B,149B,120
154B,149B,461
142M,149M,156
150M,149M,161
199M,149M,206
200M,149M,249
213M,149M,247
015V,149V,566
077V,149V,325
140V,149V,175
28AL,14AL,159
29BI,14BI,952
62CO,14CO,101
35CS,14CS,268
36CS,14CS,126
37CS,14CS,165
38CS,14CS,370
10CZ,14CZ,104
11CZ,14CZ,188
27CÑ,14CÑ,111
17HS,14HS,118
37MA,14MA,216
39MA,14MA,205
25OU,14OU,119
26OU,14OU,172
05PO,14PO,231
24SA,14SA,127
15TA,14TA,123
45TA,14TA,141
58TA,14TA,226
02TF,14TF,181
19TF,14TF,340
12VI,14VI,760
13VI,14VI,177
15VI,14VI,343
16VI,14VI,433
17VI,14VI,155
32ZA,14ZA,316
148B,150B,119
149B,150B,239
154B,150B,421
156B,150B,650
144M,150M,209
149M,150M,218
151M,150M,316
154M,150M,136
211M,150M,454
212M,150M,112
213M,150M,246
224M,150M,143
110V,150V,129
136V,150V,413
145V,150V,345
154V,150V,236
149B,151B,721
152B,151B,322
153B,151B,221
154B,151B,125
155B,151B,198
150M,151M,292
153M,151M,184
224M,151M,157
037V,151V,250
096V,151V,137
149B,152B,143
151B,152B,243
153M,152M,427
156M,152M,126
223M,152M,150
227M,152M,156
085V,152V,109
109V,152V,281
122V,152V,112
137V,152V,171
153V,152V,202
163V,152V,360
151B,153B,291
155B,153B,191
151M,153M,305
152M,153M,292
154M,153M,396
155M,153M,260
114V,153V,281
152V,153V,186
157V,153V,445
148B,154B,158
149B,154B,324
150B,154B,434
156B,154B,795
144M,154M,144
150M,154M,154
153M,154M,263
106V,154V,171
110V,154V,112
115V,154V,371
141V,154V,320
150V,154V,294
151B,155B,168
153B,155B,133
296B,155B,363
299B,155B,140
300B,155B,416
153M,155M,150
156M,155M,317
159M,155M,315
235M,155M,107
137V,155V,298
165V,155V,619
108B,156B,547
150B,156B,545
154B,156B,556
155M,156M,294
228M,156M,146
235M,156M,351
100V,156V,319
109V,156V,155
138V,156V,113
161V,156V,307
158B,157B,392
171B,157B,214
172B,157B,429
235M,157M,158
239M,157M,580
244M,157M,116
137V,157V,236
153V,157V,408
157B,158B,385
171B,158B,241
157M,158M,100
159M,158M,137
161M,158M,102
091V,158V,119
119V,158V,424
128V,158V,172
130V,158V,111
138V,158V,184
157B,159B,157
158B,159B,122
161B,159B,156
155M,159M,539
157M,159M,136
158M,159M,163
041V,159V,205
29BI,15BI,197
47BI,15CA,103
26CO,15CO,293
56CO,15CO,221
61CO,15CO,475
17CS,15CS,103
30CS,15CS,130
07CZ,15CZ,156
08CZ,15CZ,473
09CZ,15CZ,518
10CZ,15CZ,538
11CZ,15CZ,183
12CZ,15CZ,311
16CZ,15CZ,107
18CZ,15CZ,153
19CZ,15CZ,115
20CZ,15CZ,144
52CZ,15CZ,169
03GC,15GC,255
37GP,15GP,101
12GR,15GR,126
16HU,15HU,215
21HU,15HU,115
11MA,15MA,104
57MA,15MA,160
61MA,15MA,133
16MU,15MU,146
20PO,15PO,137
35PO,15PO,136
73CÑ,15PO,131
24SA,15SA,141
16TF,15TF,304
31TF,15TF,488
12VI,15VI,395
13VI,15VI,204
14VI,15VI,408
161B,160B,121
224B,160B,113
161M,160M,155
094V,160V,527
097V,160V,436
129V,160V,177
161V,160V,136
165V,160V,357
159B,161B,195
160B,161B,125
162B,161B,113
166B,161B,128
158M,161M,120
162M,161M,196
164M,161M,178
081V,161V,164
084V,161V,121
100V,161V,246
134V,161V,370
156V,161V,372
160V,161V,151
163V,161V,689
165V,161V,101
163B,162B,162
166B,162B,170
223B,162B,238
157M,162M,137
158M,162M,124
161M,162M,231
166M,162M,127
243M,162M,173
244M,162M,211
074V,162V,156
101V,162V,420
114V,162V,196
162B,163B,179
164B,163B,406
221B,163B,324
222B,163B,146
166M,163M,216
168M,163M,225
249M,163M,116
109V,163V,107
152V,163V,332
156V,163V,100
161V,163V,428
163B,164B,379
196B,164B,149
197B,164B,279
161M,164M,163
166M,164M,224
050V,164V,138
057V,164V,118
123V,164V,331
166B,165B,118
195B,165B,102
196B,165B,216
164M,165M,105
182M,165M,119
070V,165V,155
094V,165V,231
097V,165V,232
137V,165V,469
155V,165V,682
160V,165V,439
163V,165V,152
161B,166B,150
162B,166B,379
164B,166B,109
165B,166B,141
162M,166M,120
163M,166M,182
164M,166M,173
168B,167B,136
170B,167B,204
171B,167B,183
170M,167M,106
167B,168B,118
169B,168B,198
188B,168B,103
163M,168M,193
169M,168M,343
249M,168M,135
250M,168M,200
168B,169B,186
170B,169B,226
181B,169B,176
168M,169M,400
170M,169M,166
29BI,16BI,226
62CO,16CO,308
021V,16CS,118
056V,16CS,286
15CZ,16CZ,147
18CZ,16CZ,283
21CÑ,16CÑ,195
47CÑ,16CÑ,173
49CÑ,16CÑ,506
50CÑ,16CÑ,140
51CÑ,16CÑ,111
57CÑ,16CÑ,125
59CÑ,16CÑ,546
70CÑ,16CÑ,298
20GC,16GC,206
22GC,16GC,119
28GC,16GC,103
29GC,16GC,363
28GP,16GP,185
023M,16GU,124
15HU,16HU,114
17JA,16JA,167
45JA,16JA,168
44NA,16LO,136
26OU,16OU,101
26PO,16PO,108
34PO,16PO,105
52PO,16PO,129
54PO,16PO,126
56PO,16PO,126
63PO,16PO,359
15TA,16TA,118
12VI,16VI,381
13VI,16VI,1004
14VI,16VI,548
17VI,16VI,166
167B,170B,146
169B,170B,580
171B,170B,391
176B,170B,121
167M,170M,111
169M,170M,150
171M,170M,343
175M,170M,106
250M,170M,253
157B,171B,233
158B,171B,253
167B,171B,148
170B,171B,330
173B,171B,393
170M,171M,399
172M,171M,165
250M,171M,165
157B,172B,342
173B,172B,226
171M,172M,145
176M,172M,380
189M,172M,126
190M,172M,117
251M,172M,215
171B,173B,336
172B,173B,271
174B,173B,215
176B,173B,170
174M,173M,153
178M,173M,169
196M,173M,122
173B,174B,380
175B,174B,184
176B,174B,132
177B,174B,252
271B,174B,110
317B,174B,153
320B,174B,193
321B,174B,173
322B,174B,241
324B,174B,356
326B,174B,192
167M,174M,149
173M,174M,314
175M,174M,184
178M,174M,122
183M,174M,204
174M,175M,198
177M,175M,222
178M,175M,136
170B,176B,117
173B,176B,185
175B,176B,171
179B,176B,120
172M,176M,239
177M,176M,229
188M,176M,103
189M,176M,215
174B,177B,209
175B,177B,179
176B,177B,117
178B,177B,170
179B,177B,430
317B,177B,318
319B,177B,246
175M,177M,160
176M,177M,280
178M,177M,206
188M,177M,205
197M,177M,253
177B,178B,115
179B,178B,392
183B,178B,182
317B,178B,369
318B,178B,229
173M,178M,209
175M,178M,119
177M,178M,195
197M,178M,182
177B,179B,280
178B,179B,304
180B,179B,219
180M,179M,244
184M,179M,299
195M,179M,206
39AL,17AL,197
32BI,17BI,130
24PA,17BU,107
63CO,17CO,380
32CR,17CR,210
24CS,17CS,157
15CZ,17CZ,119
18CZ,17CZ,947
19CZ,17CZ,244
59CÑ,17CÑ,243
38GI,17GI,103
18GP,17GP,145
03GU,17GU,159
18GU,17GU,124
22GU,17GU,136
23GU,17GU,100
14HS,17HS,117
16JA,17JA,193
33LE,17LE,204
28LL,17LL,258
10MU,17MU,161
23MU,17MU,180
28OU,17OU,153
05PO,17PO,231
21SA,17SA,146
32SA,17SA,213
33SA,17SA,120
11TE,17TE,140
12TE,17TE,108
35TF,17TF,166
03VI,17VI,120
06VI,17VI,100
12VI,17VI,617
13VI,17VI,1389
14VI,17VI,2013
15VI,17VI,1028
16VI,17VI,1199
179B,180B,260
181B,180B,220
179M,180M,236
181M,180M,154
169B,181B,257
180B,181B,252
182B,181B,321
188B,181B,162
180M,181M,196
182M,181M,175
181B,182B,324
183B,182B,170
165M,182M,104
181M,182M,167
183M,182M,135
178B,183B,190
179B,183B,111
182B,183B,172
184B,183B,134
318B,183B,302
321B,183B,140
324B,183B,123
167M,183M,108
174M,183M,192
182M,183M,129
184M,183M,125
183B,184B,131
185B,184B,308
179M,184M,165
183M,184M,102
196M,184M,156
184B,185B,341
186B,185B,316
187B,185B,101
188B,185B,105
186M,185M,222
187M,185M,344
193M,185M,193
197M,185M,458
185B,186B,345
187B,186B,158
188B,186B,206
185M,186M,181
193M,186M,347
186B,187B,130
188B,187B,206
189B,187B,124
190B,187B,308
185M,187M,645
188M,187M,618
189M,187M,344
197M,187M,265
181B,188B,132
185B,188B,134
186B,188B,166
187B,188B,210
189B,188B,450
177M,188M,204
187M,188M,672
189M,188M,288
197M,188M,216
187B,189B,153
188B,189B,455
190B,189B,246
194B,189B,180
172M,189M,127
176M,189M,252
185M,189M,165
187M,189M,344
188M,189M,384
190M,189M,440
193M,189M,165
055V,18AB,185
02AL,18AL,119
03AL,18AL,218
45AL,18AL,103
22BU,18BU,110
16CC,18CC,149
36CC,18CC,171
32CR,18CR,389
16CZ,18CZ,105
17CZ,18CZ,465
19CZ,18CZ,249
26GC,18GC,171
38GC,18GC,289
43GC,18GC,133
17GI,18GI,136
20GI,18GI,139
63GI,18GI,136
17GP,18GP,141
03GU,18GU,172
17GU,18GU,122
19GU,18GU,916
26LU,18LU,223
36MA,18MA,123
04MU,18MU,116
81CÑ,18PO,138
83CÑ,18PO,124
11TA,18TA,101
02TF,18TF,140
13TF,18TF,130
29TF,18TF,219
64TO,18TO,152
187B,190B,308
189B,190B,260
191B,190B,262
194B,190B,240
172M,190M,119
189M,190M,439
191M,190M,204
192M,190M,119
193M,190M,324
187B,191B,134
190B,191B,303
192B,191B,218
194B,191B,150
200B,191B,180
186M,191M,117
190M,191M,226
192M,191M,226
193M,191M,318
198M,191M,192
191B,192B,165
190M,192M,186
191M,192M,225
193M,192M,153
258M,192M,140
259M,192M,200
290M,192M,117
194B,193B,221
196B,193B,108
197B,193B,102
198B,193B,114
185M,193M,304
186M,193M,545
189M,193M,176
190M,193M,319
191M,193M,220
192M,193M,125
189B,194B,117
190B,194B,224
191B,194B,127
193B,194B,235
195B,194B,319
196B,194B,249
195M,194M,368
200M,194M,198
202M,194M,332
165B,195B,120
194B,195B,484
196B,195B,509
179M,195M,122
164B,196B,134
165B,196B,122
193B,196B,104
194B,196B,259
195B,196B,353
197B,196B,402
198B,196B,105
199B,196B,139
203B,196B,144
173M,196M,358
184M,196M,180
185M,196M,125
197M,196M,142
164B,197B,307
196B,197B,420
198B,197B,240
203B,197B,419
177M,197M,217
178M,197M,233
185M,197M,470
186M,197M,109
187M,197M,301
188M,197M,203
193B,198B,119
196B,198B,180
197B,198B,218
199B,198B,316
203B,198B,162
131M,198M,117
132M,198M,569
191M,198M,321
200B,199B,277
201B,199B,239
202B,199B,190
149M,199M,191
200M,199M,165
201M,199M,114
202M,199M,362
213M,199M,185
54BA,19BA,199
39BI,19BI,141
22BU,19BU,536
26CA,19CA,116
57CO,19CO,319
05CR,19CR,307
13CS,19CS,108
09CZ,19CZ,191
15CZ,19CZ,165
17CZ,19CZ,308
18CZ,19CZ,673
20CZ,19CZ,144
08GC,19GC,689
53GI,19GI,348
63GI,19GI,247
38GP,19GP,106
052M,19GU,138
18GU,19GU,285
22LL,19HS,138
24HU,19HU,382
32HU,19HU,138
02LO,19LO,115
23LO,19LO,165
25LO,19LO,245
08MA,19MA,125
03MU,19MU,111
28OU,19OU,152
18PA,19PA,489
21PA,19PA,219
22PA,19PA,426
23PA,19PA,116
24PA,19PA,135
12PO,19PO,290
28PO,19PO,417
65TA,19TA,154
03TF,19TF,531
14TF,19TF,205
26VA,19VA,167
43VA,19VA,294
45VA,19VA,261
20ZA,19ZA,142
191B,200B,143
199B,200B,710
201B,200B,588
202B,200B,150
206B,200B,123
207B,200B,167
142M,200M,158
149M,200M,216
199M,200M,245
199B,201B,806
200B,201B,713
202B,201B,444
204B,201B,334
205B,201B,113
206B,201B,156
207B,201B,362
199M,201M,107
200M,201M,116
202M,201M,168
199B,202B,544
200B,202B,172
201B,202B,351
204B,202B,211
194M,202M,129
199M,202M,174
201M,202M,146
203M,202M,398
205M,202M,247
196B,203B,173
197B,203B,474
198B,203B,154
199B,203B,105
204B,203B,273
217B,203B,115
218B,203B,185
219B,203B,233
220B,203B,222
221B,203B,293
202M,203M,502
204M,203M,146
205M,203M,353
214M,203M,212
201B,204B,194
202B,204B,186
203B,204B,194
205B,204B,259
206B,204B,267
219B,204B,186
203M,204M,101
205M,204M,141
204B,205B,254
206B,205B,168
207B,205B,310
211B,205B,268
217B,205B,235
202M,205M,230
203M,205M,316
204M,205M,100
208M,205M,126
199B,206B,100
204B,206B,203
205B,206B,235
131M,206M,171
200B,207B,122
201B,207B,222
205B,207B,505
209B,207B,109
210B,207B,306
211B,207B,102
089M,207M,123
120M,207M,164
205M,207M,166
206M,207M,124
208M,207M,388
210M,207M,478
216M,207M,192
205M,208M,136
206M,208M,116
207M,208M,243
210M,208M,216
210B,209B,142
211B,209B,158
23AS,20AS,169
05CO,20CO,121
06JA,20CO,114
66CO,20CO,366
10CS,20CS,121
24CS,20CS,180
34CS,20CS,163
36CS,20CS,342
37CS,20CS,100
39CS,20CS,116
41CS,20CS,373
01CZ,20CZ,164
06CZ,20CZ,162
15CZ,20CZ,126
19CZ,20CZ,118
21LU,20CÑ,158
16GC,20GC,222
23GC,20GC,142
28GC,20GC,423
29GC,20GC,628
18GI,20GI,134
63GI,20GI,147
53GP,20GP,144
55GR,20GR,154
06HS,20HS,157
21CZ,20HU,133
22HU,20HU,310
24CZ,20HU,233
25CZ,20HU,140
39HU,20HU,222
13LL,20LL,111
08LO,20LO,146
66MU,20MU,122
15PO,20PO,122
73CÑ,20PO,332
19SG,20SG,322
22TF,20TF,157
30TF,20TF,147
64TO,20TO,157
11ZM,20ZM,209
207B,210B,124
211B,210B,137
207M,210M,240
208M,210M,154
216M,210M,280
205B,211B,705
209B,211B,302
210B,211B,392
212B,211B,155
217B,211B,378
150M,211M,273
212M,211M,139
213M,211M,125
224M,211M,382
209B,212B,159
211B,212B,147
214B,212B,136
217B,212B,142
297B,212B,208
211M,212M,292
213M,212M,500
215M,212M,285
218M,212M,158
224M,212M,161
225M,212M,191
086B,213B,160
149M,213M,261
150M,213M,189
199M,213M,183
211M,213M,188
212M,213M,603
214M,213M,419
215M,213M,125
297B,214B,215
298B,214B,254
203M,214M,193
213M,214M,249
215M,214M,351
219M,214M,137
108B,215B,164
216B,215B,428
217B,215B,130
229B,215B,144
298B,215B,159
299B,215B,312
212M,215M,228
214M,215M,477
216M,215M,113
217M,215M,170
218M,215M,754
219M,215M,239
215B,216B,272
217B,216B,549
229B,216B,102
207M,216M,102
210M,216M,321
215M,216M,154
217M,216M,351
219M,216M,274
203B,217B,102
204B,217B,127
205B,217B,417
211B,217B,464
212B,217B,104
215B,217B,106
216B,217B,778
218B,217B,178
117M,217M,135
118M,217M,116
119M,217M,263
120M,217M,168
215M,217M,248
216M,217M,324
218M,217M,267
220M,217M,181
203B,218B,167
216B,218B,102
217B,218B,181
219B,218B,156
220B,218B,529
228B,218B,339
229B,218B,568
212M,218M,197
215M,218M,697
217M,218M,170
225M,218M,156
203B,219B,254
204B,219B,245
218B,219B,254
210M,219M,103
214M,219M,189
215M,219M,326
216M,219M,264
08AS,21AS,207
72AS,21AS,313
73AS,21AS,198
07HU,21BA,132
20BA,21BA,103
35BI,21BI,305
63CO,21CO,145
20HU,21CZ,185
25CZ,21CZ,159
47CÑ,21CÑ,172
06GC,21GC,140
02GP,21GP,133
38JA,21JA,123
13LL,21LL,122
32LL,21LL,164
47LL,21LL,144
20CÑ,21LU,171
32LU,21LU,200
23PA,21PA,164
36PO,21PO,267
32SA,21SA,126
22SG,21SG,149
12TF,21TF,376
33TF,21TF,104
23VA,21VA,125
09ZA,21ZA,111
02ZM,21ZM,286
22ZM,21ZM,270
203B,220B,157
218B,220B,458
221B,220B,293
222B,220B,240
228B,220B,152
217M,220M,113
221M,220M,131
225M,220M,115
226M,220M,151
163B,221B,353
203B,221B,321
220B,221B,358
222B,221B,399
220M,221M,191
222M,221M,187
223M,221M,150
226M,221M,100
163B,222B,118
220B,222B,158
221B,222B,280
227B,222B,122
228B,222B,326
221M,222M,226
227M,222M,377
265M,222M,437
162B,223B,345
225B,223B,131
152M,223M,150
221M,223M,155
224M,223M,177
226M,223M,199
151M,224M,140
211M,224M,357
223M,224M,140
223B,225B,104
226B,225B,246
227B,225B,414
226M,225M,233
225B,226B,361
227B,226B,151
230B,226B,149
220M,226M,146
223M,226M,139
225M,226M,434
108B,227B,160
222B,227B,229
225B,227B,488
226B,227B,143
228B,227B,398
229B,227B,198
230B,227B,459
152M,227M,106
221M,227M,108
222M,227M,325
229M,227M,159
230M,227M,437
236M,227M,281
265M,227M,178
268M,227M,166
218B,228B,282
220B,228B,149
222B,228B,334
227B,228B,276
229B,228B,246
156M,228M,162
229M,228M,246
235M,228M,417
236M,228M,151
108B,229B,110
216B,229B,106
218B,229B,481
227B,229B,131
228B,229B,244
230B,229B,231
227M,229M,132
228M,229M,106
230M,229M,113
235M,229M,170
236M,229M,286
33CR,22AB,237
31AL,22AL,108
02AV,22AV,170
03AV,22AV,433
18BA,22BA,113
23BA,22BA,186
35BI,22BI,296
19BU,22BU,315
24CA,22CA,121
41CC,22CC,100
15GR,22CO,104
58CO,22CO,181
63CO,22CR,229
27CS,22CS,108
31CS,22CS,123
23CZ,22CZ,152
24CZ,22CZ,111
25CZ,22CZ,473
16GC,22GC,120
29GC,22GC,118
37GI,22GI,204
02GP,22GP,110
03GU,22GU,122
17GU,22GU,114
23GU,22GU,588
24GU,22GU,217
25GU,22GU,309
20HU,22HU,153
32LE,22LE,216
23LO,22LO,131
34MA,22MA,118
09MU,22MU,124
47NA,22NA,132
02PA,22PA,103
18PA,22PA,489
19PA,22PA,230
23PA,22PA,172
24PA,22PA,276
01PO,22PO,111
64PO,22PO,181
21SG,22SG,139
23SG,22SG,198
24SG,22SG,107
04TF,22TF,238
20TF,22TF,169
28TF,22TF,123
01ZM,22ZM,172
02ZM,22ZM,249
21ZM,22ZM,321
108B,230B,686
227B,230B,221
229B,230B,242
227M,230M,403
229M,230M,145
231M,230M,198
072B,231B,466
233B,231B,126
227M,231M,113
230M,231M,298
232M,231M,304
233M,231M,280
267M,231M,121
268M,231M,394
072B,232B,186
231B,232B,122
233B,232B,198
235B,232B,289
231M,232M,286
233M,232M,181
267M,232M,243
270M,232M,137
271M,232M,187
072B,233B,253
